"lfdn";"external_lfdn";"tester";"dispcode";"lastpage";"quality";"duration";"c_0001";"Studienteilnahme";"Trust_Car_1";"Trust_Car_2";"Trust_Car_3";"car_check";"Manip_Check_1";"Manip_Check_2";"Manip_Check_3";"car_comp1";"car_comp2";"car_comp3";"car_comp4";"car_comp5";"car_consc1";"car_consc2";"car_consc3";"car_consc4";"car_consc5";"car_consc6";"driv_comp1";"driv_comp2";"driv_comp3";"driv_comp4";"driv_comp5";"driv_consc1";"driv_consc2";"driv_consc3";"driv_consc4";"Resp_Bic";"Resp_Car";"Resp_Driver";"Resp_Producer";"Sex";"Age";"Car_Owner";"km_year";"Education";"Occupation";"Occupation_Sonst";"Income";"Quality_1";"Quality_2";"Quality_3";"Quality_4";"Quality_5";"Quality_6";"ext_host";"ip_addr";"browser";"referer";"device_type";"participant_browser";"participant_browser_version";"participant_os";"participant_device";"participant_brand";"participant_model";"participant_isbot";"participant_continent";"participant_country";"participant_region";"participant_city";"participant_latitude";"participant_longitude";"quota";"quota_assignment";"page_history";"hflip";"vflip";"output_mode";"javascript";"flash";"session_id";"language";"cleaned";"ats";"datetime";"date_of_last_access";"date_of_first_mail"
"19";"0";"0";"31";"3878440";"-77";"1349";"1";"1";"2";"3";"5";"9";"6";"7";"3";"7";"7";"6";"6";"6";"7";"7";"6";"7";"4";"4";"7";"7";"7";"7";"7";"6";"6";"6";"6";"4";"4";"4";"6";"1";"25";"1";"300";"5";"7";"-99";"1";"7";"1";"7";"7";"1";"7";"-99";"-99";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.2 Safari/605.1.15";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3878430,3878432,3878435,3878436,3878437,3878438,3878439,3878440";"1";"1";"0";"-77";"-77";"02cbd320b7bc4ae302f2023c59d8568b";"1";"0";"1571666104";"2019-10-21 13:55:04";"2019-10-21 14:17:33";"0000-00-00 00:00:00"
"20";"0";"0";"31";"3878440";"-77";"313";"5";"1";"3";"2";"4";"9";"5";"2";"2";"5";"4";"4";"6";"6";"6";"5";"3";"5";"6";"5";"4";"5";"4";"6";"4";"5";"6";"4";"4";"2";"5";"3";"6";"2";"24";"2";"3000";"5";"7";"-99";"1";"6";"2";"7";"5";"1";"7";"-99";"-99";"Mozilla/5.0 (Linux; Android 7.1.1; SM-J510FN) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3878430,3878432,3878435,3878436,3878437,3878438,3878439,3878440";"1";"0";"0";"-77";"-77";"4fa76bfa326ad0959a35c42e24ea9868";"1";"0";"1571666548";"2019-10-21 14:02:28";"2019-10-21 14:07:41";"0000-00-00 00:00:00"
"34";"0";"0";"31";"3878440";"-77";"490";"2";"1";"1";"2";"6";"3";"7";"5";"1";"2";"2";"3";"2";"4";"4";"4";"4";"4";"4";"4";"1";"2";"2";"2";"2";"4";"5";"6";"5";"1";"3";"7";"2";"1";"27";"2";"15000";"5";"7";"-99";"1";"5";"2";"7";"7";"1";"7";"-99";"-99";"Mozilla/5.0 (iPhone; CPU iPhone OS 13_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.1 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3878430,3878432,3878435,3878436,3878436,3878437,3878438,3878439,3878440";"0";"0";"0";"-77";"-77";"6ffc04c53315dab2eec67dd81fed8813";"1";"0";"1571668222";"2019-10-21 14:30:22";"2019-10-21 14:38:32";"0000-00-00 00:00:00"
"39";"0";"0";"31";"3878440";"-77";"1038";"4";"1";"4";"4";"4";"10";"4";"5";"3";"5";"4";"3";"4";"3";"1";"1";"1";"1";"1";"1";"4";"4";"4";"3";"4";"4";"5";"4";"4";"5";"4";"5";"4";"2";"25";"1";"18000";"5";"7";"-99";"1";"4";"1";"7";"7";"1";"7";"-99";"-99";"Mozilla/5.0 (Linux; Android 8.0.0; RNE-L21) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3878430,3878432,3878435,3878436,3878437,3878438,3878439,3878440";"1";"1";"0";"-77";"-77";"1d592b69c88664ecb52b22cd35cbdd2b";"1";"0";"1571669406";"2019-10-21 14:50:06";"2019-10-21 15:07:24";"0000-00-00 00:00:00"
"43";"0";"0";"31";"3878440";"-77";"345";"1";"1";"3";"7";"6";"5";"6";"5";"1";"7";"6";"6";"6";"6";"2";"3";"3";"4";"3";"3";"6";"5";"5";"6";"6";"3";"5";"2";"2";"2";"7";"6";"7";"2";"22";"1";"20000";"5";"1";"-99";"1";"2";"6";"6";"7";"1";"7";"-99";"-99";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Safari/605.1.15";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3878430,3878432,3878435,3878436,3878437,3878438,3878439,3878440";"0";"1";"0";"-77";"-77";"75c855a9f4d5b9c198ae5bedf34baff7";"1";"0";"1571669892";"2019-10-21 14:58:12";"2019-10-21 15:03:57";"0000-00-00 00:00:00"
"50";"0";"0";"31";"3878440";"-77";"961";"2";"1";"1";"1";"1";"8";"4";"4";"1";"7";"7";"7";"4";"4";"7";"7";"2";"7";"1";"2";"7";"7";"7";"4";"4";"7";"7";"2";"7";"4";"4";"4";"4";"2";"22";"1";"15000";"5";"1";"-99";"2";"7";"1";"7";"7";"1";"7";"-99";"-99";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Safari/605.1.15";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3878430,3878432,3878435,3878436,3878437,3878438,3878439,3878440";"0";"1";"0";"-77";"-77";"c3501773721f061880076fbdd58d3f47";"1";"0";"1571671416";"2019-10-21 15:23:36";"2019-10-21 15:39:37";"0000-00-00 00:00:00"
"52";"0";"0";"31";"3878440";"-77";"408";"4";"1";"3";"3";"6";"11";"1";"7";"2";"5";"6";"6";"5";"5";"4";"4";"4";"5";"2";"6";"2";"3";"4";"3";"4";"1";"4";"2";"4";"2";"5";"5";"5";"2";"25";"2";"300";"5";"7";"-99";"1";"6";"2";"7";"7";"1";"6";"-99";"-99";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.120 Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3878430,3878430,3878430,3878432,3878435,3878436,3878437,3878438,3878439,3878440";"1";"0";"0";"-77";"-77";"5a95d35c3bf0acc4680524fda7eb94a5";"1";"0";"1571672047";"2019-10-21 15:34:07";"2019-10-21 15:40:55";"0000-00-00 00:00:00"
"55";"0";"0";"31";"3878440";"-77";"542";"2";"1";"6";"4";"4";"9";"6";"5";"7";"6";"6";"5";"7";"6";"2";"4";"4";"6";"3";"2";"4";"4";"3";"2";"2";"2";"5";"2";"6";"2";"4";"6";"6";"2";"29";"1";"15000";"5";"7";"-99";"2";"6";"1";"7";"6";"1";"6";"-99";"-99";"Mozilla/5.0 (Linux; Android 7.0; SM-G950F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3878430,3878432,3878435,3878436,3878437,3878438,3878439,3878440";"0";"1";"0";"-77";"-77";"dc19aa805b1e7edd7bde07f8d2acae19";"1";"0";"1571672751";"2019-10-21 15:45:51";"2019-10-21 15:54:53";"0000-00-00 00:00:00"
"59";"0";"0";"31";"3878440";"-77";"787";"6";"1";"1";"4";"5";"11";"2";"5";"6";"4";"5";"5";"5";"5";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"3";"4";"4";"5";"1";"7";"2";"7";"1";"60";"1";"30000";"3";"5";"-99";"4";"5";"5";"5";"6";"1";"7";"-99";"-99";"Mozilla/5.0 (Linux; Android 6.0.1; SAMSUNG SM-G903F) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/10.1 Chrome/71.0.3578.99 Mobile Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3878430,3878432,3878435,3878436,3878437,3878438,3878439,3878440";"0";"1";"0";"-77";"-77";"4aa7bdf3e1dc0e7d77949a4612d39b1e";"1";"0";"1571675176";"2019-10-21 16:26:16";"2019-10-21 16:39:23";"0000-00-00 00:00:00"
"60";"0";"0";"31";"3878440";"-77";"477";"4";"1";"2";"6";"5";"11";"1";"7";"3";"6";"6";"6";"6";"6";"5";"5";"5";"5";"4";"4";"6";"4";"4";"4";"4";"2";"3";"3";"3";"2";"6";"1";"7";"2";"50";"1";"9000";"5";"2";"-99";"4";"7";"1";"7";"7";"1";"7";"-99";"-99";"Mozilla/5.0 (Linux; Android 8.0.0; SAMSUNG SM-G930F) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/10.1 Chrome/71.0.3578.99 Mobile Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3878430,3878432,3878435,3878436,3878437,3878438,3878439,3878440";"1";"1";"0";"-77";"-77";"568841aebdf9892ecb18d563807b4284";"1";"0";"1571676498";"2019-10-21 16:48:18";"2019-10-21 16:56:15";"0000-00-00 00:00:00"
