OID;file_origin;Design;Level;Design_coded;Level_coded;TRUST;DOMINANCE;RHTRUST;Resp_Bic;Resp_Car;Resp_Driver;Resp_Producer;Sex;Age;Car_Owner;km_year;Education;Income;MC_autonom;MC_babyface;MC_baseline;MC_aggressive;MC_wide;Trust_1;Trust_2;Trust_3;RH_Trust_1;RH_Trust_2;RH_Trust_3;RH_Trust_4;RH_Trust_5;RH_Trust_6;RH_Trust_7;RH_Trust_8;RH_Trust_9;Dominance_1;Dominance_2;Dominance_3;Quality_1;Quality_2;Quality_3;Quality_4;Quality_5
1;Resp_Aggr_LP;1;1;aggressive;level 5;333.333.333.333.333;466.666.666.666.667;533.333.333.333.333;7;1;3;1;female;24;2;400;5;1;11;2;3;6;4;3;4;3;6;3;4;6;6;6;6;5;6;4;5;5;7;4;6;6;1
2;Resp_Aggr_LP;1;0;aggressive;level 3;5;4;522.222.222.222.222;2;4;7;5;female;29;2;2000;5;1;6;1;4;1;3;5;5;5;5;5;5;5;6;4;6;6;5;4;1;7;6;2;7;7;1
4;Resp_Aggr_LP;1;1;aggressive;level 5;666.666.666.666.667;433.333.333.333.333;666.666.666.666.667;5;3;6;4;male;19;2;5000;5;1;8;3;2;3;3;7;7;6;7;7;7;7;7;5;7;6;7;5;3;5;7;6;7;6;1
5;Resp_Aggr_LP;0;0;baseline;level 3;466.666.666.666.667;333.333.333.333.333;411.111.111.111.111;6;4;6;6;male;50;1;40000;5;0;10;3;6;2;3;4;5;5;5;4;4;4;4;4;4;4;4;2;2;6;6;2;6;6;1
6;Resp_Aggr_LP;0;0;baseline;level 3;233.333.333.333.333;466.666.666.666.667;488.888.888.888.889;1;1;7;4;male;21;2;300;5;1;6;5;6;5;5;1;5;1;5;5;6;7;4;1;5;5;6;3;4;7;5;4;7;6;1
7;Resp_Aggr_LP;1;1;aggressive;level 5;5;533.333.333.333.333;522.222.222.222.222;2;6;4;5;female;24;2;2000;5;1;11;1;2;5;4;5;5;5;5;4;5;7;5;5;5;6;5;6;5;5;7;3;7;7;1
8;Resp_Aggr_LP;1;0;aggressive;level 3;4;4;4;4;1;7;6;female;26;1;15000;3;3;5;2;2;2;5;4;4;4;4;5;2;7;4;4;4;4;2;3;3;6;7;1;7;7;1
9;Resp_Aggr_LP;1;1;aggressive;level 5;4;4;266.666.666.666.667;3;3;3;5;female;29;1;15000;3;2;9;3;3;1;3;4;4;4;3;2;2;2;3;2;3;4;3;4;3;5;7;2;6;7;1
11;Resp_Aggr_LP;1;0;aggressive;level 3;366.666.666.666.667;333.333.333.333.333;411.111.111.111.111;1;7;7;4;female;26;1;10000;3;3;3;1;5;2;4;3;4;4;2;3;7;5;4;4;4;4;4;3;1;6;4;4;7;7;1
12;Resp_Aggr_LP;0;0;baseline;level 3;1;233.333.333.333.333;155.555.555.555.556;1;7;1;1;male;59;1;10000;3;3;8;5;2;1;5;1;1;1;2;1;1;5;1;1;1;1;1;1;1;5;5;2;5;5;1
13;Resp_Aggr_LP;1;0;aggressive;level 3;266.666.666.666.667;4;377.777.777.777.778;2;5;7;5;female;54;1;25000;5;4;9;3;5;6;3;2;4;2;3;4;5;5;5;3;4;2;3;2;6;4;7;1;7;6;1
14;Resp_Aggr_LP;1;1;aggressive;level 5;3;433.333.333.333.333;433.333.333.333.333;5;5;1;5;female;47;1;20000;5;2;9;1;2;2;3;2;3;4;4;3;6;5;5;3;5;4;4;3;4;6;6;4;7;7;1
15;Resp_Aggr_LP;0;0;baseline;level 3;533.333.333.333.333;433.333.333.333.333;611.111.111.111.111;2;6;7;4;female;47;1;18000;4;3;9;1;6;1;5;6;6;4;6;6;6;6;6;6;6;6;7;5;1;7;7;1;7;7;1
16;Resp_Aggr_LP;1;1;aggressive;level 5;166.666.666.666.667;3;266.666.666.666.667;3;3;4;3;male;39;1;12000;4;3;9;1;1;1;1;1;1;3;2;3;2;3;4;3;3;2;2;1;1;7;3;4;7;3;4
18;Resp_Aggr_LP;1;1;aggressive;level 5;466.666.666.666.667;4;588.888.888.888.889;2;6;6;2;male;62;1;5000;2;2;6;1;3;1;5;5;4;5;5;4;7;6;7;5;5;7;7;4;1;7;5;1;7;7;1
20;Resp_Aggr_LP;1;0;aggressive;level 3;3;3;488.888.888.888.889;1;1;7;1;male;62;1;20000;3;3;9;1;4;2;3;3;3;3;4;3;7;4;7;3;5;7;4;1;1;7;4;1;7;7;1
21;Resp_Aggr_LP;1;1;aggressive;level 5;5;6;422.222.222.222.222;4;4;1;4;female;41;2;5000;5;4;11;1;4;7;7;5;5;5;5;1;5;5;4;4;5;4;5;4;7;7;7;1;7;7;1
22;Resp_Aggr_LP;1;1;aggressive;level 5;5;3;411.111.111.111.111;1;7;1;7;female;60;1;200000;2;1;11;1;5;4;1;5;5;5;5;1;5;5;5;5;5;1;5;1;1;7;1;7;7;7;1
24;Resp_Aggr_LP;1;1;aggressive;level 5;5;3;266.666.666.666.667;4;1;4;1;male;52;1;40000;5;5;9;1;2;2;5;5;5;5;4;1;1;4;4;1;4;1;4;1;1;7;7;1;7;7;1
25;Resp_Aggr_LP;1;0;aggressive;level 3;1;5;433.333.333.333.333;7;1;7;7;female;32;1;40000;2;2;6;1;3;7;1;1;1;1;1;7;4;4;5;1;3;7;7;7;7;1;7;3;7;7;1
26;Resp_Aggr_LP;0;0;baseline;level 3;433.333.333.333.333;366.666.666.666.667;388.888.888.888.889;1;5;7;2;female;55;1;10000;3;3;6;6;1;1;4;2;6;5;5;1;1;6;6;5;2;5;4;3;1;7;7;1;6;7;1
29;Resp_Aggr_LP;1;1;aggressive;level 5;466.666.666.666.667;466.666.666.666.667;433.333.333.333.333;2;1;5;5;female;27;2;20000;5;4;9;2;2;5;5;5;5;4;5;4;4;4;4;3;5;5;5;4;5;5;7;1;7;6;1
30;Resp_Aggr_LP;0;0;baseline;level 3;4;366.666.666.666.667;388.888.888.888.889;3;4;4;4;male;59;1;45000;5;4;8;2;2;2;2;4;4;4;4;4;4;4;6;1;4;4;4;2;3;6;6;3;6;6;1
31;Resp_Aggr_LP;1;1;aggressive;level 5;3;5;255.555.555.555.556;2;6;7;2;female;29;1;10000;4;2;10;1;2;2;1;3;3;3;2;2;2;2;4;1;2;3;5;2;6;7;7;1;7;7;1
32;Resp_Aggr_LP;1;1;aggressive;level 5;366.666.666.666.667;166.666.666.666.667;355.555.555.555.556;2;5;7;3;male;27;1;20000;4;3;8;1;3;1;6;2;5;4;1;3;5;7;1;1;6;5;3;1;1;3;5;5;7;7;1
